name,rating,features,address,website,contact,plus_code
Monal Lahore,4.3,"Dine-in, Takeout, No-contact delivery","Plaza Liberty Park and Ride Plaza, Liberty Chowk, Round About, Gulberg III, Lahore, Pakistan",NA,+92 42 35789823,"G85R+WC Lahore, Pakistan"
LalQila Restaurant Lahore,4.0,"Dine-in, Takeout, Delivery","12 Main Boulevard Garden Town, Babar Block Garden Town, Lahore, Punjab, Pakistan",http://www.lalqila.com/lahore/,+92 304 1115745,"G82F+H7 Lahore, Pakistan"
Dera Restaurant,4.1,"Dine-in, Takeout, Delivery","23 Abul Hassan Isfahani Rd, Block C Faisal Town, Lahore, Punjab, Pakistan",https://www.foodpanda.pk/restaurant/vbp0/crispy-pk-food-menu,+92 42 35202786,"F8C5+HC Lahore, Pakistan"
Caspian Sea,4.1,"Dine-in, Takeout, Delivery","76، G-II Canal Rd, Block G2 Block G 2 Phase 2 Johar Town, Lahore, Punjab, Pakistan",https://m.facebook.com/Caspian-Sea-Restaurant-242145079194117/,+92 42 35301898,"F7GC+QC Lahore, Pakistan"
Dera Restaurant,4.0,"Dine-in, Takeout, Delivery","Hafeez Kardar Rd، near Gaddafi Stadium, Block E 2 Gulberg III, Lahore, Punjab, Pakistan",NA,+92 322 4305059,"G87J+2W Lahore, Pakistan"
Fuchsia Kitchen,4.3,"Dine-in, Takeout, Delivery","119 / E 1 Hali Rd, Block E1 Block E 1 Gulberg III, Lahore, Punjab 54000, Pakistan",http://fuchsiapk.com/,+92 42 35762157,"G87R+H8 Lahore, Pakistan"
BonFire,4.3,"Dine-in, Takeout, Delivery","1, College Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan",NA,+92 42 111 007 000,"G862+38 Lahore, Pakistan"
Spice Bazaar,4.3,"Dine-in, Curbside pickup, No-contact delivery","T-01, Tipu Rd, off MM Alam Road, Lahore, 54660, Pakistan",http://spicebazaar.pk/,+92 311 1122103,"G994+F2 Lahore, Pakistan"
Salt'n Pepper Village Lahore,4.1,"Dine-in, Takeout, Delivery","B-103 MM Alam Rd, Block B2 Block B 2 Gulberg III, Lahore, Punjab, Pakistan",https://village.saltnpepper.com.pk/,+92 311 1101047,"G962+7C Lahore, Pakistan"
Galito's - Flame Grilled Chicken,4.2,"Dine-in, Takeout, Delivery","Abdul Haque Rd, Emporium Mall, Food Court, Commercial Area Phase 2 Johar Town, Lahore, Punjab, Pakistan",NA,+92 42 32592472,"F788+W9 Lahore, Pakistan"
